customer_id,name,age,email,salary,join_date,status,purchase_count
2,charlie,38,customer1@email.com,52133.22375345279,2020-01-02,active,5
3,Bob,23,customer2@email.com,60574.89645869635,2020-01-03,inactive,5
4,charlie,23,customer3@email.com,85569.03725214598,2020-01-04,,12
5,charlie,72,customer4@email.com,63821.981360398066,2020-01-05,active,8
6,Jane,65,customer5@email.com,60928.73096312297,2020-01-06,pending,6
7,Bob,21,customer6@email.com,32802.877180401614,2020-01-07,pending,2
8,Bob,47,customer7@email.com,74925.07132054442,2020-01-08,inactive,8
9,Bob,28,customer8@email.com,72909.68362282151,2020-01-09,,7
10,charlie,79,customer9@email.com,103265.0944661092,2020-01-10,inactive,6
12,Bob,47,customer11@email.com,64383.00655327878,2020-01-12,active,3
13,DAVE,48,customer12@email.com,64987.673674215104,2020-01-13,active,5
14,charlie,41,customer13@email.com,91549.0655952695,2020-01-14,active,3
15,Jane,72,customer14@email.com,58094.089352260955,2020-01-15,active,3
16,Alice,26,customer15@email.com,65580.43051540678,2020-01-16,pending,7
17,DAVE,72,customer16@email.com,72157.93019433078,2020-01-17,pending,4
20,Alice,48,customer19@email.com,63881.79985796615,2020-01-20,active,6
22,John,54,customer21@email.com,39469.694011778796,2020-01-22,,4
23,Alice,53,customer22@email.com,62659.39348293752,2020-01-23,,6
24,Jane,41,customer23@email.com,45997.583701216536,2020-01-24,inactive,6
25,DAVE,48,customer24@email.com,83900.93257849685,2020-01-25,,6
27,Alice,19,customer26@email.com,48821.563054568236,2020-01-27,active,3
28,John,37,customer27@email.com,67544.23750129042,2020-01-28,active,5
29,John,45,customer28@email.com,91310.48058468681,2020-01-29,active,2
30,Bob,28,customer29@email.com,58684.99477854025,2020-01-30,active,5
32,Jane,32,customer31@email.com,97623.14138881181,2020-02-01,active,3
33,Alice,23,customer32@email.com,31039.72199167512,2020-02-02,inactive,5
34,Alice,71,customer33@email.com,16023.88086759836,2020-02-03,active,11
35,DAVE,66,customer34@email.com,68800.28900106665,2020-02-04,pending,7
36,DAVE,47,customer35@email.com,49958.91551294777,2020-02-05,pending,7
37,DAVE,73,customer36@email.com,39575.34365738573,2020-02-06,pending,4
38,Bob,55,customer37@email.com,74167.12894598706,2020-02-07,pending,1
39,Alice,68,customer38@email.com,648760.1427542397,2020-02-08,inactive,4
40,Alice,79,customer39@email.com,48718.42738526543,2020-02-09,inactive,5
42,Bob,19,customer41@email.com,77449.14656560289,2020-02-11,active,4
43,charlie,32,customer42@email.com,73004.02355917322,2020-02-12,pending,7
44,Bob,28,customer43@email.com,58016.482724412344,2020-02-13,inactive,6
45,charlie,25,customer44@email.com,96932.73992095332,2020-02-14,active,8
46,John,43,customer45@email.com,38598.304673476945,2020-02-15,active,4
47,Jane,68,customer46@email.com,29489.496581505224,2020-02-16,inactive,3
48,Alice,200.0,customer47@email.com,46161.83860237511,2020-02-17,pending,0
49,John,61,customer48@email.com,59088.27967289004,2020-02-18,,4
50,Alice,22,customer49@email.com,64866.78898645384,2020-02-19,active,1
52,Jane,43,customer51@email.com,67041.10793028594,2020-02-21,pending,3
53,Jane,71,customer52@email.com,34969.21151619112,2020-02-22,pending,5
54,John,21,customer53@email.com,888752.9208146519,2020-02-23,,6
55,Jane,36,customer54@email.com,58356.97643214862,2020-02-24,pending,6
56,charlie,37,customer55@email.com,82345.91663176255,2020-02-25,active,4
57,Jane,50,customer56@email.com,668545.0692755409,2020-02-26,,4
58,Alice,37,customer57@email.com,69135.06438307567,2020-02-27,pending,5
59,Alice,66,customer58@email.com,71395.34560464408,2020-02-28,,1
60,Alice,29,customer59@email.com,68954.1712003463,2020-02-29,active,9
62,charlie,18,customer61@email.com,86583.05060264863,2020-03-02,active,5
63,Bob,43,customer62@email.com,63930.4233940294,2020-03-03,pending,4
66,Alice,55,customer65@email.com,88802.34430898946,2020-03-06,,1
67,Jane,54,customer66@email.com,46472.153958814604,2020-03-07,pending,3
68,Alice,79,customer67@email.com,96018.80865821632,2020-03-08,active,7
69,Jane,28,customer68@email.com,59196.84098711313,2020-03-09,active,6
72,DAVE,30,customer71@email.com,46378.96685050239,2020-03-12,inactive,5
73,Jane,60,customer72@email.com,76812.87097977448,2020-03-13,,6
74,Alice,20,customer73@email.com,46947.52041395218,2020-03-14,inactive,6
77,Jane,67,customer76@email.com,50953.87361501846,2020-03-17,inactive,3
78,Jane,73,customer77@email.com,11522.413467420869,2020-03-18,pending,3
79,Alice,27,customer78@email.com,28321.943530285535,2020-03-19,active,9
80,Jane,22,customer79@email.com,75208.29312288595,2020-03-20,pending,7
82,DAVE,27,customer81@email.com,68509.15123569929,2020-03-22,,2
83,Alice,61,customer82@email.com,40660.47713741574,2020-03-23,,4
84,DAVE,19,customer83@email.com,59045.7728771604,2020-03-24,active,6
85,DAVE,30,customer84@email.com,59927.94921818863,2020-03-25,active,9
86,Alice,57,customer85@email.com,36832.70621614915,2020-03-26,active,11
87,John,19,customer86@email.com,90067.96603534301,2020-03-27,,4
88,DAVE,37,customer87@email.com,775472.4581151342,2020-03-28,inactive,7
89,charlie,18,customer88@email.com,55580.71652340672,2020-03-29,pending,7
92,charlie,26,customer91@email.com,19165.30263151419,2020-04-01,pending,5
93,Jane,34,customer92@email.com,55056.452349588064,2020-04-02,active,2
94,John,26,customer93@email.com,46360.31504004403,2020-04-03,inactive,9
95,Alice,28,customer94@email.com,39967.599802101686,2020-04-04,pending,6
97,Alice,41,customer96@email.com,95953.73053699045,2020-04-06,active,6
99,John,72,customer98@email.com,48576.42020434406,2020-04-08,,2
100,charlie,52,customer99@email.com,714516.5562712317,2020-04-09,inactive,8
102,John,48,customer101@email.com,78492.67365825537,2020-04-11,inactive,5
103,John,66,customer102@email.com,61192.60739840348,2020-04-12,pending,4
104,John,22,customer103@email.com,47061.26444588852,2020-04-13,pending,3
105,John,79,customer104@email.com,73964.46627227179,2020-04-14,,4
106,Alice,77,customer105@email.com,67869.70770843499,2020-04-15,active,3
107,Bob,61,customer106@email.com,77903.86440055465,2020-04-16,active,11
108,Bob,67,customer107@email.com,72703.43603363939,2020-04-17,,6
109,John,31,customer108@email.com,80991.05430638671,2020-04-18,,5
110,Bob,70,customer109@email.com,49295.29576878864,2020-04-19,active,5
112,John,28,customer111@email.com,63951.99209384799,2020-04-21,inactive,3
113,Bob,26,customer112@email.com,101505.21745250531,2020-04-22,,6
114,charlie,51,customer113@email.com,46216.243638208645,2020-04-23,inactive,4
115,Jane,29,customer114@email.com,94719.27606330498,2020-04-24,active,5
116,Jane,52,customer115@email.com,63958.21566925295,2020-04-25,pending,3
117,John,52,customer116@email.com,46971.63992771103,2020-04-26,pending,7
118,Alice,18,customer117@email.com,50322.28331891357,2020-04-27,inactive,3
119,John,57,customer118@email.com,53593.0538361136,2020-04-28,,6
124,charlie,46,customer123@email.com,102845.40717223728,2020-05-03,inactive,2
125,Bob,25,customer124@email.com,94550.86340201422,2020-05-04,pending,2
126,Alice,28,customer125@email.com,68726.47339348064,2020-05-05,pending,5
127,DAVE,58,customer126@email.com,60760.069563364006,2020-05-06,inactive,5
128,Bob,54,customer127@email.com,62400.62653436523,2020-05-07,,3
129,Bob,31,customer128@email.com,72270.35945460833,2020-05-08,inactive,5
132,charlie,52,customer131@email.com,26628.318522448208,2020-05-11,inactive,6
133,DAVE,38,customer132@email.com,67984.46245210558,2020-05-12,,5
134,Bob,54,customer133@email.com,72943.91879405481,2020-05-13,pending,3
136,charlie,36,customer135@email.com,91479.73526580066,2020-05-15,pending,10
137,Jane,76,customer136@email.com,35484.68673995318,2020-05-16,pending,1
138,DAVE,31,customer137@email.com,30712.502395803596,2020-05-17,,8
139,Bob,200.0,customer138@email.com,64489.03637119944,2020-05-18,active,3
140,John,79,customer139@email.com,809419.6605224309,2020-05-19,pending,5
142,Jane,42,customer141@email.com,50822.3147426212,2020-05-21,active,11
143,Alice,62,customer142@email.com,81573.61666862591,2020-05-22,pending,3
144,charlie,59,customer143@email.com,59229.83060998585,2020-05-23,active,4
145,Bob,42,customer144@email.com,56547.45400118361,2020-05-24,inactive,3
146,John,35,customer145@email.com,77673.19874973345,2020-05-25,pending,3
147,Alice,57,customer146@email.com,73046.4575682684,2020-05-26,inactive,8
148,charlie,25,customer147@email.com,28472.15686031501,2020-05-27,,1
149,Alice,56,customer148@email.com,89530.80699451792,2020-05-28,pending,5
150,DAVE,57,customer149@email.com,87601.82708294904,2020-05-29,pending,7
152,charlie,49,customer151@email.com,67916.07066874819,2020-05-31,pending,7
154,charlie,78,customer153@email.com,65213.47531647814,2020-06-02,pending,7
156,charlie,50,customer155@email.com,46567.53264123897,2020-06-04,pending,7
157,Bob,40,customer156@email.com,59488.91858017109,2020-06-05,,5
159,DAVE,32,customer158@email.com,70872.00309188865,2020-06-07,active,5
160,Alice,50,customer159@email.com,52587.71335827788,2020-06-08,,11
162,Jane,34,customer161@email.com,3029.147587398489,2020-06-10,active,6
163,charlie,50,customer162@email.com,82975.31400744207,2020-06-11,active,3
164,DAVE,64,customer163@email.com,25205.724424438005,2020-06-12,active,0
166,charlie,19,customer165@email.com,37606.60210747713,2020-06-14,active,5
167,DAVE,31,customer166@email.com,34106.37048558188,2020-06-15,,5
168,Alice,70,customer167@email.com,83216.5357475704,2020-06-16,,3
169,Alice,57,customer168@email.com,50645.97597376217,2020-06-17,pending,4
170,Alice,57,customer169@email.com,66930.07763461431,2020-06-18,pending,2
172,Alice,56,customer171@email.com,69540.81654446243,2020-06-20,pending,7
